Date,Reliance,TCS,HDFC Bank,ITC,Sun Pharma
2022-01-03,722.8025512695312,177.2171173095703,1093.7806396484375,810.159912109375,3386.357421875
2022-01-04,727.03564453125,178.1472930908203,1118.465087890625,799.4239501953125,3445.787109375
2022-01-05,744.3013305664062,178.3899383544922,1123.6976318359375,796.942626953125,3424.676513671875
2022-01-06,732.3628540039062,176.89358520507812,1099.53662109375,791.6939086914062,3377.2216796875
2022-01-07,737.4996948242188,176.65093994140625,1108.4091796875,791.07373046875,3418.068359375
2022-01-10,741.5902709960938,180.6142578125,1109.3193359375,788.926513671875,3441.440185546875
2022-01-11,744.80078125,179.52232360839844,1117.3048095703125,794.3661499023438,3473.4169921875
2022-01-12,740.401123046875,180.1693878173828,1147.1307373046875,797.9924926757812,3423.745361328125
2022-01-13,726.7741088867188,181.1400146484375,1153.592041015625,825.9536743164062,3457.451171875
2022-01-14,734.9313354492188,180.04808044433594,1155.275390625,820.4662475585938,3519.76318359375
2022-01-17,723.6824951171875,181.66574096679688,1161.304443359375,814.2156982421875,3565.000244140625
2022-01-18,727.3687133789062,178.55172729492188,1147.4493408203125,808.0126953125,3539.67626953125
2022-01-19,722.2317504882812,178.22817993164062,1147.3583984375,800.1873168945312,3478.40966796875
2022-01-20,717.737060546875,176.93402099609375,1127.26953125,782.5326538085938,3400.1279296875
2022-01-21,723.72998046875,175.5590362548828,1127.4515380859375,771.7966918945312,3406.302978515625
2022-01-24,707.1065063476562,171.31259155273438,1081.9730224609375,764.2576293945312,3351.07861328125
2022-01-25,707.7724609375,173.33468627929688,1079.8572998046875,771.128662109375,3349.79052734375
2022-01-27,701.54150390625,173.57736206054688,1063.8636474609375,774.99365234375,3242.585205078125
2022-01-28,695.9765625,176.0038604736328,1062.8397216796875,789.5467529296875,3278.839111328125
2022-01-31,706.6547241210938,178.10687255859375,1085.931640625,796.3701171875,3319.889892578125
2022-02-01,712.0293579101562,184.21360778808594,1082.337158203125,851.0042724609375,3377.114013671875
2022-02-02,728.2960815429688,187.77247619628906,1084.5438232421875,849.9545288085938,3426.4736328125
2022-02-03,720.7572631835938,189.6328582763672,1070.529541015625,843.1788940429688,3398.39453125
2022-02-04,724.87158203125,189.5115203857422,1060.76953125,853.1038208007812,3389.776123046875
2022-02-07,698.3072509765625,186.1952667236328,1054.308349609375,846.5189208984375,3357.876220703125
2022-02-08,695.3107299804688,187.04454040527344,1072.0311279296875,853.2468872070312,3326.287841796875
2022-02-09,712.3147583007812,186.1548309326172,1084.5211181640625,852.6217041015625,3341.482177734375
2022-02-10,725.3947143554688,187.8533935546875,1083.406494140625,860.1720581054688,3350.190673828125
2022-02-11,722.4219970703125,188.01515197753906,1081.2906494140625,846.5139770507812,3283.1923828125
2022-02-14,700.9469604492188,181.7635498046875,1064.068359375,831.8460083007812,3317.6689453125
2022-02-15,721.922607421875,184.7039031982422,1100.1964111328125,843.3399658203125,3392.3525390625
2022-02-16,720.9475708007812,184.496826171875,1097.92138671875,835.6932373046875,3388.176513671875
