Date,Reliance,TCS,HDFC Bank,ITC,Sun Pharma
2022-01-04,0.005856500166309342,0.0052487919641821534,0.02256800618643373,-0.013251657794459137,0.01754973858225939
2022-01-05,0.023748059899165064,0.0013620485580332353,0.0046783256821907315,-0.0031038890460828306,-0.006126494479501976
2022-01-06,-0.01603984310146933,-0.008388102844906764,-0.021501345253092996,-0.006586067910290705,-0.013856734729521869
2022-01-07,0.007014065216755405,-0.0013717018816175042,0.00806936160518612,-0.0007833560620433833,0.012094758224837632
2022-01-10,0.005546546257012341,0.02243587196540453,0.0008211374162894192,-0.002714306788575427,0.006837729300460449
2022-01-11,0.004329223803858584,-0.006045670022546745,0.0071985346095710945,0.006894984686407923,0.009291693278563828
2022-01-12,-0.0059071611011752845,0.003604366275894666,0.026694530873670352,0.004565077167353326,-0.014300508971740955
2022-01-13,-0.018404907469722342,0.005387301598862582,0.00563257831109909,0.03503940437693487,0.009844718864781443
2022-01-14,0.011223881619827347,-0.006028122533946023,0.0014592243614068856,-0.006643746409087825,0.018022528336953503
2022-01-17,-0.015305974571291792,0.00898460299309356,0.005218714761259902,-0.007618289399479394,0.012852302324694254
2022-01-18,0.005093695490204997,-0.01714144700757947,-0.011930637670672262,-0.007618377959402123,-0.007103498702699107
2022-01-19,-0.007062391873801976,-0.0018120651543562794,-7.925612014159089e-05,-0.009684722113112665,-0.017308532446842495
2022-01-20,-0.006223334737592956,-0.007261247553800088,-0.017508798658603553,-0.022063162853485307,-0.02250503700070594
2022-01-21,0.008349742895133128,-0.0077711721774598175,0.00016145813480439308,-0.013719506606926224,0.0018161224976886992
2022-01-24,-0.022969166083636527,-0.024188129490431365,-0.04033744607968548,-0.009768197478916218,-0.01621240552666292
2022-01-25,0.000941802378942258,0.011803538246866419,-0.001955430137655201,0.008990466631372929,-0.00038437950467495874
2022-01-27,-0.008803616098592815,0.0014000416561690265,-0.014810894315983036,0.005012121095074429,-0.03200358989331631
2022-01-28,-0.007932447866967118,0.013979348368248212,-0.0009624596006205799,0.01877834810895007,0.011180556240503403
2022-01-31,0.015342702896110394,0.011948670212696744,0.02172662394365399,0.008642128198860677,0.012519913254716464
2022-02-01,0.0076057423881898956,0.034286915163721066,-0.0033100448383713843,0.06860397457702971,0.01723675270727476
2022-02-02,0.02284557996394443,0.01931924818657893,0.002038796342099136,-0.0012335351141165019,0.014615917301221693
2022-02-03,-0.010351309790659902,0.00990763991487964,-0.012921821992095794,-0.007971761471902039,-0.008194751972876668
2022-02-04,0.00570832797366938,-0.0006398568883466682,-0.009116992471189134,0.011770843444886658,-0.002536023443974633
2022-02-07,-0.036646947836261434,-0.01749895550074887,-0.0060910324535916605,-0.007718755609560812,-0.009410622172616234
2022-02-08,-0.004291121124552544,0.0045611990926772705,0.01680986243434268,0.007947803814536192,-0.00940724935347248
2022-02-09,0.024455293996096028,-0.00475667170358729,0.01165077198690656,-0.0007327106782835102,0.004567955829490655
2022-02-10,0.0183626071231342,0.009124461683646334,-0.001027756864084295,0.008855456021803265,0.002606177627334949
2022-02-11,-0.004098068577460756,0.000861088638276275,-0.001952955550853397,-0.015878312863090938,-0.01999835159802077
2022-02-14,-0.029726443419750392,-0.033250523200376914,-0.01592753072302533,-0.017327497416052773,0.010500926683579381
2022-02-15,0.02992472777000632,0.01617680440723257,0.033952754481895386,0.013817410199527203,0.02251086379655809
2022-02-16,-0.0013506110088112866,-0.0011211296717694719,-0.002067834789353684,-0.009067195704625552,-0.0012310116187921327
2022-02-17,-0.006102604934555944,-0.00044883941886919576,0.012660642914100295,-0.007250731412610456,-0.007579061809539711
2022-02-18,0.003883160712921274,-0.003368593295397182,-0.007816497153505186,0.00040565829314087587,0.0025631700304129534
2022-02-21,0.0064469001720672825,-0.017575442848075662,-0.010105621969422773,-0.02207676216803134,-0.019636747758976947
2022-02-22,-0.007489700492071427,-0.014449503217517146,-0.004541934249157831,0.0023109438014503603,-0.03575843737268636
2022-02-23,-0.006486984663605866,0.00511971760094565,-0.006257904357803934,-0.006561900239639651,-0.0063015953944280945
2022-02-24,-0.05430067899360491,-0.03449877026839121,-0.04983042481262656,-0.02618262755036349,-0.04549917424988803
